id_ogl,desc
109286,PRACOWNIK BUDOWLANY Usługi Ogólnobudowlane   Chęci do pracy
109440,"ROBOTNIK MELIORACYJNY kontakt przez PUP   uprawnienia pilarza, obsługa kosy spalinowej"
109591,"NAUCZYCIEL TERAPEUTA - 446 POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W ŚWIDNICY   wykształcenie wyższe: pedagogika specjalna, oligofrenopedagogika, surdopedagogika, tyflopedagogika"
109724,"NAUCZYCIEL LOGISTYKI Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu   wykształcenie: wyższe kierunkowe, przygotowanie pedagogiczne,  staż pracy: brak wymagań"
109897,"MASAŻYSTA/ MASAŻYSTKA (NR 2471) P.P.H.U. """" JAKUB """" JAROSŁAW KWIECIŃSKI   Mile widziane doświadczenie zawodowe"
110060,CIEŚLA ZAKŁAD REMONTOWO - BUDOWLANY RYSZARD MAJEWSKI   2 lata doświadczenia w pracach remontowo budowlanych - cieśla.
110203,"OPERATOR DŹWIGU SAMOJEZDNEGO 30-TONOWEGO (NR 1448) PW SIMBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   doświadczenie w zawodzie, uprawnienia operatora dźwigu 30 ton wzwyż"
110367,PRACOWNIK FIZYCZNY/DOPOSAŻENIE/20/0112 kontakt przez PUP   obsługa kosy i pilarki
110530,OPERATOR KOPARKI Jakub Rodak HIRE-TECH   mile widziane doświadczenie zawodowe
110685,"OPIEKUN ZWIERZĄT PRO-ANIMALE DLA ZWIERZĄT W POTRZEBIE   Doświadczenie zawodowe mile widziane, mile widziane prawo jazdy kat. B"
110839,"PRACOWNIK DZIAŁU PLANOWANIA PRACY Megaflex Schaumstoff GmbH   Chęć do nauki, motywacja/chęć działania, umiejętność pracy w zespole."
110993,"PRACOWNIK FIZYCZNY kontakt przez PUP   [Umiejętność 1] : umiejętność obsługi maszyn: ESD, SMIPACK FP 560/T450"
111154,"SPAWACZ MIG TIG """"SILO"""" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Mile widziane uprawnienia spawacza, mile widziane doświadczenie"
111314,ROZBIERACZ-WYKRAWACZ DROBIU KESEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Wymagane doświadczenie w rozbiorze drobiu
111484,"POMOCNIK HYDRAULIKA JOŃCZYK DARIUSZ MAR-POL   Wykształcenie nie jest istotne, możliwość przyuczenia.."
111782,"ŚLUSARZ-SPAWACZ ENERGO MECHANIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   uprawnienia z zakresu spawania gazowego, elektrodą, półautomat"
111937,"PARKIECIARZ PAWEŁ PIEPRZYCA FIRMA HANDLOWO USŁUGOWA """"KRAK-PARKIET""""   umiejętności zawodowe, samodzielność"
112095,SZWACZKA VAN HUU PHAM   Język wietnamski mile widziany.
112244,PRACOWNIK FIZYCZNY 180 kontakt przez PUP   MILE WIDZIANE DOŚWIADCZENIE NA PODOBNYM STANOWISKU
112408,"MECHANIK MASZYN I URZĄDZEŃ PRZEMYSŁOWYCH Arleta Prylowski """"ARMAT""""   [Inne] : WYMAGANE DOŚWIADCZENIE "
112556,MONTER ZABUDOWY I ROBÓT WYKOŃCZENIOWYCH W BUDOWNICTWIE PI SYSTEMS Dawid Trusiński   [Umiejętność 1] : umiejętności budowlane w zakresie prac wykończeniowych 
112700,ASYSTENTKA STOMATOLOGICZNA Benno dent lek.stom.Anna Michalska-Benno   [Umiejętność 1] : asysta podczas zabiegów stomatologicznych 
112882,"SPAWACZ MIG Z.P.H.U. """"Regsonik"""" Tomasz Zygarlicki   Doświadczenie w zawodzie spawacza."
113039,"LAKIERNIK PAGED MEBLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Umiejętność pracy w zespole, odpowiedzialność, sumienność.  Doświadczenie zawodowe mile widziane."
113200,"SZWACZKA kontakt przez OHP   dokładność, zaangażowanie"
113369,PIEKARZ PODLASKIE PRZEDSIĘBIORSTWO MIĘSNE SP. Z O. O.   doświadczenie; umiejętność pracy w zespole
113539,"PRACOWNIK FIZYCZNY AVANTRE HR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   wysoka kultura osobista, chęć do pracy, umiejętność rozróżniania wartości produktów"
113700,"MENADŻER Jacek Chodakowski   [Inne] : UKOŃCZONE 18 LAT, DOBRA ZNAJOMOŚĆ STANDARDÓW MCDONALD'S "
